Ref,Val,Package,PosX,PosY,Rot,Side
"C2"," 270 pf X7R 1206 2000v 202R18W271KW4E","C_1210_3225Metric_Pad1.42x2.65mm",148.035000,-85.750000,0.000000,bottom
"C7"," 270 pf X7R 1206 2000v 202R18W271KW4E","C_1210_3225Metric_Pad1.42x2.65mm",163.000000,-91.987500,90.000000,bottom
"C10"," 270 pf X7R 1206 2000v 202R18W271KW4E","C_1210_3225Metric_Pad1.42x2.65mm",130.500000,-58.512500,-90.000000,bottom
"C14","47uF 63V D10,5","CP_Radial_D6.3mm_P2.50mm",170.000000,-94.000000,-90.000000,bottom
"C15","10uF 16V 0805","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",116.075000,-64.000000,0.000000,bottom
"C16","0,1uF 50V 0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.037500,-62.000000,180.000000,bottom
"C18","10uF 16V 0805","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",117.000000,-54.000000,0.000000,bottom
"C19","0,1uF 50V 0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",116.037500,-62.000000,0.000000,bottom
"C20","10nF 50V 0805","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",127.000000,-64.000000,180.000000,bottom
"C22","0,1uF 50V 0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",116.962500,-51.950000,180.000000,bottom
"C23","10uF 16V 0805","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",150.522500,-54.250000,90.000000,bottom
"C24","0,1uF 50V 0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",152.522500,-54.287500,-90.000000,bottom
"C25","0,1uF 50V 0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",153.000000,-64.287500,90.000000,bottom
"C26","10uF 16V 0805","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",150.500000,-64.250000,-90.000000,bottom
"C27","0,1uF 50V 0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",150.022500,-74.787500,90.000000,bottom
"C28","10uF 16V 0805","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",152.052500,-74.787500,-90.000000,bottom
"C29","0,1uF 50V 0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",143.287500,-52.000000,180.000000,bottom
"C30","10uF 16V 0805","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.250000,-54.000000,0.000000,bottom
"C31","10uF 16V 0805","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.500000,-65.000000,0.000000,bottom
"C32","0,1uF 50V 0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",143.537500,-63.000000,180.000000,bottom
"C33","10uF 16V 0805","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",142.750000,-76.000000,0.000000,bottom
"C34","0,1uF 50V 0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",142.712500,-74.000000,180.000000,bottom
"D1","SMBJ5.0A","D_SMB",93.500000,-61.650000,-90.000000,bottom
"D2","SMBJ5.0A","D_SMB",99.500000,-61.650000,-90.000000,bottom
"D3","KPA-3010CGCK","LED_Kingbright_KPA-3010_3x2x1mm",154.050000,-38.500000,180.000000,bottom
"D4","KPA-3010CGCK","LED_Kingbright_KPA-3010_3x2x1mm",147.300000,-38.500000,180.000000,bottom
"D5","SMBJ10CA","D_SMB",96.850000,-55.000000,0.000000,bottom
