Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF 100V 0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.362500,-90.150000,180.000000,top
"C3","10uF 50V 1210 GRM32ER71H106K","C_1210_3225Metric_Pad1.42x2.65mm_HandSolder",159.262500,-87.500000,0.000000,top
"C4","4,7uF 50V 0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",172.000000,-94.962500,-90.000000,top
"C5","0,1uF 100V 0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.362500,-92.200000,180.000000,top
"C6","4,7uF 50V 0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",153.250000,-94.500000,-90.000000,top
"C8","0,1uF 100V 0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",118.712500,-84.000000,180.000000,top
"C9","0,1uF 100V 0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",118.412500,-78.675000,180.000000,top
"C11","1uF 50V 0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.362500,-50.000000,180.000000,top
"C12","1uF 50V 0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",131.200000,-54.962500,-90.000000,top
"C13","10nF 50V 0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",131.200000,-50.837500,90.000000,top
"C17","0,1uF 50V 0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",129.200000,-50.562500,-90.000000,top
"C21","10nF 50V 0805","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",127.200000,-50.600000,-90.000000,top
"CN7","DS1023-2x19S21","PinSocket_2x19_P2.54mm_Vertical",109.020000,-44.010000,0.000000,top
"CN9","DS1023-2x19S21","PinSocket_2x19_P2.54mm_Vertical",170.000000,-44.000000,0.000000,top
"F1","0452.500MRL","Fuse_Littelfuse-NANO2-451_453",167.000000,-95.545000,90.000000,top
"J1","DG141R-02 (RS485)","DG141R-02",103.615000,-47.270000,-90.000000,top
"L1","B82790S0253N201","L_CommonMode_Delevan_4222",96.750000,-62.270000,180.000000,top
"L2","6,8uH 3,5A ETQP3M6R8KVP","L_Bourns-SRN6028",160.600000,-96.000000,180.000000,top
"Q1","DTC114ECA (SOT-23)","SOT-23",156.000000,-42.000000,90.000000,top
"Q2","DTC114ECA (SOT-23)","SOT-23",149.050000,-41.937500,90.000000,top
"R1","103 0805","R_0805_2012Metric",123.450000,-84.112500,90.000000,top
"R2","472 0805","R_0805_2012Metric",125.450000,-84.112500,90.000000,top
"R4","561 0805","R_0805_2012Metric",125.512500,-66.500000,180.000000,top
"R5","472 0805","R_0805_2012Metric",124.387500,-79.175000,0.000000,top
"R10","561 0805","R_0805_2012Metric",120.137500,-66.500000,0.000000,top
"R11","103 0805","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",119.000000,-51.000000,0.000000,top
"R12","301 0805","R_0805_2012Metric",152.000000,-42.062500,-90.000000,top
"R13","301 0805","R_0805_2012Metric",145.000000,-41.937500,90.000000,top
"R14","101 0805","R_0805_2012Metric",153.500000,-62.937500,90.000000,top
"R15","101 0805","R_0805_2012Metric",154.312500,-72.500000,180.000000,top
"R16","101 0805","R_0805_2012Metric",153.960000,-84.750000,180.000000,top
"R17","101 1206","R_1206_3216Metric",98.500000,-55.100000,90.000000,top
"R18","101 1206","R_1206_3216Metric",95.500000,-55.100000,-90.000000,top
"R31","121 0805","R_0805_2012Metric",108.937500,-100.250000,180.000000,top
"RS1","SL-10 (L-KLS1-603C-10-S)","Edge_Conn_KLS1-603-10",107.520000,-101.690000,0.000000,top
"RS2","SL-10 (L-KLS1-603C-10-S)","Edge_Conn_KLS1-603-10",166.920000,-101.690000,0.000000,top
"RS3","SL-14 (L-KLS1-603C-14-S) RTS","Edge_Conn_KLS1-603-14",129.620000,-96.610000,0.000000,top
"U1","ADM3485EARZ-REEL (SOIC-8)","SOIC-8_3.9x4.9mm_P1.27mm",122.750000,-89.525000,-90.000000,top
"U4","π140M3x","SOIC-16_3.9x9.9mm_P1.27mm",148.047500,-58.415000,0.000000,top
"U6","ADM2587E SOIC-20","SOIC-20W_7.5x12.8mm_P1.27mm",121.575000,-58.500000,-90.000000,top
"U7","π140M3x","SOIC-16_3.9x9.9mm_P1.27mm",148.047500,-69.305000,0.000000,top
"U8","π140M3x","SOIC-16_3.9x9.9mm_P1.27mm",148.047500,-80.305000,0.000000,top
"U9","LD3985M33R_SOT23","SOT-23-5",134.400000,-52.850000,180.000000,top
